House,Name,Alcohol_consumption,Cards,Vocab,Forgetful
828,KENNETH MACKAY,I only drink once or twice each season.,7,16,I'm a little forgetful.
435,ARTHUR MORRIS,I drink once or twice each season.,3,4,I'm a little forgetful.
12,SONJA BLOMGREN,I only drink once or twice each season.,4,12,I'm moderately forgetful.
281,Raphael Bager,I drink once or twice each season.,9,18,I'm not at all forgetful.
1501,AYANO PRICE,I usually drink a couple of times each day.,6,12,I'm a little forgetful.
1324,RYOSUKE NAKAYAMA,I usually drink several times each season.,2,5,I'm a little forgetful.
446,PAVAK LAHA,I usually drink several times each season.,5,9,I'm a little forgetful.
41,LAMONT SORENSEN,I usually drink several times each season.,4,7,I'm moderately forgetful.
1,JUSTIN ABBASI,I usually drink each day.,7,14,I'm a little forgetful.
1384,ALEXANDER SUMMERS,I usually drink several times each season,10,13,I'm not at all forgetful.
859,JESSICA DAVIES,I usually drink several times each season.,10,19,I'm moderately forgetful.
1289,NIAMH WILSON,I only drink once or twice each season,10,19,I'm a little forgetful.
1342,SCOTT MORRIS,I usually drink several times each season.,10,19,I'm a little forgetful.
87,RAPHAEL SORENSEN,I only drink once or twice each season,6,8,I'm not at all forgetful.
1390,RIN WATANABE,I usually drink a couple of times each day.,6,15,I'm a little forgetful.
48,GREGG RUSSELL,I only drink once or twice each season.,9,16,I'm not at all forgetful.
730,MAXIMILIAN SVENDSEN,I only drink once or twice each season.,7,9,I'm a little forgetful.
339,GYAN BOSE,I only drink once or twice each season.,10,15,I'm a little forgetful.
593,HARUKI SHIMADA,I usually drink several times each season.,5,16,I'm not at all forgetful.
78,DR MARILYN LEGER,I usually drink several times each season.,4,6,I'm a little forgetful.
89,CLEMENT ROYER,I usually drink a couple of times each day.,9,10,I'm a little forgetful.
995,IGOR BACHMANN,Several times each season,9,18,I'm a little forgetful.
609,ANTOINETTE PEREIRA,I only drink once or twice each season.,9,15,I'm a little forgetful.
58,RAOUL ROYER,I only drink once or twice each season.,9,17,I'm a little forgetful.
918,MINH PRICE,NONE,,,
753,YUMIKO UEDA,I drink once or twice each season.,10,18,I'm not at all forgetful.
338,KARINA CARLSEN,I usally drink several times each season.,7,18,I'm a little forgetful.
1193,RYOSUKE MURATA,I usually drink a couple of times each day.,8,13,I'm moderately forgetful.
196,ASHLEY COLLINS,I usually drink each day.,7,10,I'm a little forgetful.
220,NORIMOTO MARUYAMA,NONE,,,
1537,PATRICIA COLLINS,NONE,,,
1309,PAAVAN GANAKA,NONE,,,
1054,SATONARI NAKASHIMA,I drink once or twice each season.,8,15,I'm a little forgetful.
766,KRISTJANA THORN,I drink once or twice each season.,10,19,I'm a little forgetful.
287,HANS NAGEL,I usually drink a coupleof times each day.,7,13,I'm a little forgetful.
571,HANS BLOMGREN,I drink once or twice each season.,7,16,I'm a little forgetful.
1273,TSUGAMICHI KINOSHITA,I drink once or twice each season.,10,13,I'm a little forgetful.
1222,MASACHIKA ONO,"I rarely drink, perhaps once or twice a year.",10,20,I'm a little forgetful.
18,JERMAINE EKLUND,I drink once or twice each season.,7,16,I'm a little forgetful.
1071,MACON CONNOLLY,I drink once or twice each season.,8,16,I'm moderately forgetful.
728,CHRYSTELE MASSON,NONE,,,
794,HARRISON CONNOLLY,NONE,,,
1295,JACOB HALL,I usually drink a couple of times each day.,9,13,I'm not at all forgetful.
889,SALLY SINCLAIR,I rarely drink.,9,17,I'm a little forgetful.
753,LEIF SORENSEN,I usually drink several times each season.,8,18,I'm a little forgetful.
279,HAMA MORRIS,I drink once or twice each season.,5,13,I'm not at all forgetful.
230,EMILE WILSON,I drink once or twice each season.,8,18,I'm not at all forgetful.
415,AVNI SHARMA,I drink once or twice each season.,9,18,I'm a little forgetful.
968,RODNEY MACLEOD,I usually drink several times each season.,10,14,I'm a little forgetful.
1484,LYNNEA SORENSEN,NONE,,,
773,TAMARA WILSON,I drink once or twice each season.,8,20,I'm a little forgetful.
1535,DANIEL YAMADA,I only drink once or twice each season.,8,16,I'm moderately forgetful.
978,SACHA SOLBERG,I usually drink several times each season.,10,17,I'm a little forgetful.
393,SVEN PALLESEN,"I rarely drink, perhaps once or twice a year.",10,20,I'm not at all forgetul.
776,GUILLAUME HERNANDEZ,I drink once or twice each season.,8,11,I'm not at all forgetul.
1262,LAWRENCE KIMURA,"i rarely drink, perhaps once or twice a year.",9,17,I'm a little forgetful.
1065,MITCHELL SUZUKI,NONE,,,
288,LIAM MCCARTHY,NONE,,,
1174,LEON EKLUND,I usually drink several times each season.,8,17,I'm moderately forgetful.
19,MIKI MCCARTHY,I drink once or twice each season.,5,13,I'm moderately forgetful.
1320,LEIGH CRAWFORD,I usually drink a couple of times each day.,9,15,I'm a little forgetful.
653,LIAM SATO,NONE,,,
1011,SAMIR BOSE,I only drink once or twice each season.,9,20,I'm a little forgetful.
901,RAGNAR OLSEN,I usually drink a couple of times each day.,9,17,I'm a little forgetful.
995,SOPHIE BLOMGREN,I usually drink each day.,9,14,I'm moderately forgetful.
300,RINA LINGUTLA,I drink once or twice each season.,7,11,I'm a little forgetful.
625,JULIE PRICE,I only drink once or twice each season.,8,18,I'm a little forgetful.
947,ALEX MORI,I drink once or twice each season.,9,9,I'm not at all forgetful.
530,JULIAN MORI,I usually drink several times each season.,4,12,I'm a little forgetful.
1426,TOMAS JENSEN,I only drink once or twice each season.,6,4,I'm a little forgetful.
1141,JESSICA BLOMGREN,NONE,,,
387,SEAN PRICE,NONE,,,
1157,GABRIELLE BROWN,I drink once or twice each season.,8,16,I'm a little forgetful.
1456,ROBIN REGAN,I rarely drink.,8,15,I'm a little forgetful.
1151,SAIKA JONES,NONE,,,
1424,SIMONE HUBER,NONE,,,
854,KOHARU ONO,NONE,,,
92,DOMINIQUE CHEVALIER,NONE,,,
595,DEVAK TAMBOLI,I drink once or twice each season.,9,17,I'm a little forgetful.
208,MICHELLE CONNOLLY,I only drink once or twice each season.,5,12,I'm moderately forgetful.
555,FRED RENARD,I drink once or twice each season.,10,15,I'm a little forgetful.
996,JULIETTE JENSEN,NONE,,,
291,YOTA YAMAMOTO,NONE,,,
905,AVELINE BLOMGREN,I drink once or twice each season.,9,16,I'm a little forgetful.
410,DAICHI WILSON,I drink once or twice each season.,10,20,I'm a little forgetful.
1448,MOTOHIKO SANO,I usually drink several times each season.,10,18,I'm not at all forgetful.
1433,MARGIT FIELDER,NONE,,,
1088,SOPHIA MCCARTHY,NONE,,,
689,ELLA SUZUKI,I only drink once or twice each season.,10,16,I'm a little forgetful.
334,COLIN PRICE,I drink once or twice each season.,10,20,I'm moderately forgetful.
518,CHRISTIAN THORN,I rarely drink.,9,19,I'm a little forgetful.
998,CARINA BANERJEE,I only drink once or twice each season.,8,14,I'm not at all forgetful.
517,CAMERON YAMADA,I usually drink several times each season.,6,13,I'm not at all forgetful.
860,BERTOLD NOWAK,I only drink once or twice each season.,9,17,I'm a little forgetful.
980,SANNA BLOMGREN,I usually drink several times each season.,10,17,I'm not at all forgetful.
293,FLORIAN IBSEN,I drink once or twice each season.,10,18,I'm a little forgetful.
65,EBBE EKLUND,I drink once or twice each season.,10,17,I'm a little forgetful.
1375,TIMOTHY WOOD,NONE,,,
312,NADIA KAUR,I only drink once or twice each season.,9,19,I'm a little forgetful.
810,JASMINE PRICE,I usually drink several times each season.,9,17,I'm a little forgetful.
1299,LENA JENSEN,NONE,,,
1211,MICHELLE WHITE,I usually drink several times each season.,9,20,I'm a little forgetful.
1498,KAMAL KAUR,I drink once or twice each season.,7,13,I'm a little forgetful.
1246,PERCIVAL GAGNON,NONE,,,
1045,TAKUYA KATO,I drink once or twice each season.,10,20,I'm not at all forgetful.
926,VIDYA SRINIVASAN,"I rarely drink, perhaps once or twice a year.",10,20,I'm not at all forgetful.
808,TYR SOLBERG,I usually drink several times each season.,9,18,I'm a little forgetful.
912,TAARA MARDIA,I usually drink several times each season.,1,3,I'm moderately forgetful.
1127,VANESSA OLSEN,I usually drink several times each season.,8,17,I'm a little forgetful.
857,VICKY CRAWFORD,I only drink once or twice each season.,9,14,I'm a little forgetful.
1130,NINA GHOSH,NONE,,,
703,FELIX OLSEN,NONE,,,
1220,OLINA SOLBERG,I drink once or twice each season.,10,19,I'm a little forgetful.
829,HELGA CLAUSEN,I drink once or twice each season.,8,18,I'm a little forgetful.
1205,BAILEY CONNOLLY,I only drink once or twice each season.,10,18,I'm a little forgetful.
694,AYAKA MOORE,NONE,,,
1002,ROSALIND SOLBERG,I usually drink several times each season.,10,20,I'm moderately forgetful.
1539,KIMAYA KRISHNA,I usually drink several times each season.,7,4,I'm not at all forgetful.
51,RAINE ANAND,I usually drink several times each season.,9,16,I'm a little forgetful.
71,ARMAND SORENSEN,I only drink once or twice each season.,8,11,I'm moderately forgetful.
1010,KAZUKI MORRIS,I drink once or twice each season.,9,16,I'm moderately forgetful.
1479,KATHARINA OLSEN,I usually drink several times each season.,9,15,I'm moderately forgetful.
406,TAHIR KRISHNA,NONE,,,
947,BHAJAN MEHTA,I usually drink several times each season.,5,5,I'm a little forgetful.
